idaItb16 trait type base estimate rel nDau nHerd edc label pubCode
CHEM110262085522 vzk P BV19 119.45 0.16 0 0 0 A Y
CHEM110262085522 raz P BV19 96.45 0.18 0 0 0 A Y
CHEM110262085522 nrr P BV19 107.56 0.11 0 0 0 A Y
CHEM110262085522 nrk P BV19 118.85 0.14 0 0 0 A Y
CHEM110262085522 vzr P BV19 116.99 0.11 0 0 0 A Y
CHEM110262113812 vzk P BV19 109.55 0.32 0 0 0 A Y
CHEM110262113812 raz P BV19 98.22 0.35 0 0 0 A Y
CHEM110262113812 nrr P BV19 111.94 0.28 0 0 0 A Y
CHEM110262113812 nrk P BV19 117.87 0.31 0 0 0 A Y
CHEM110262113812 vzr P BV19 103.12 0.28 0 0 0 A Y
CHEM110284113999 vzk P BV19 120.28 0.04 0 0 0 A Y
CHEM110284113999 raz P BV19 94.11 0.05 0 0 0 A Y
CHEM110284113999 nrr P BV19 108.7 0.03 0 0 0 A Y
CHEM110284113999 nrk P BV19 120.52 0.04 0 0 0 A Y
CHEM110284113999 vzr P BV19 121.6 0.03 0 0 0 A Y
CHEM110362028184 vzk P BV19 108.05 0.33 3 2 2.67 A Y
CHEM110362028184 raz P BV19 106.9 0.37 3 2 2.67 A Y
CHEM110362028184 nrr P BV19 105.01 0.27 0 0 0 A Y
CHEM110362028184 nrk P BV19 107.73 0.31 3 2 2.66 A Y
CHEM110362028184 vzr P BV19 105.75 0.27 0 0 0 A Y
CHEM110405033779 vzk P BV19 117.3 0.29 5 3 4.09 A Y
CHEM110405033779 raz P BV19 103.45 0.32 5 3 4.09 A Y
CHEM110405033779 nrr P BV19 107.54 0.2 0 0 0 A Y
CHEM110405033779 nrk P BV19 115.05 0.26 5 3 4.05 A Y
CHEM110405033779 vzr P BV19 112.85 0.19 0 0 0 A Y
CHEM110409049981 vzk P BV19 98.52 0.31 3 2 2.48 A Y
CHEM110409049981 raz P BV19 99.1 0.33 3 2 2.48 A Y
CHEM110409049981 nrr P BV19 101.37 0.28 0 0 0 A Y
CHEM110409049981 nrk P BV19 99.56 0.3 3 2 2.46 A Y
CHEM110409049981 vzr P BV19 98.66 0.27 0 0 0 A Y
CHEM110418073427 vzk P BV19 108.26 0.47 9 1 23.41 A Y
CHEM110418073427 raz P BV19 101.98 0.54 9 1 23.14 A Y
CHEM110418073427 nrr P BV19 105.17 0.39 12 1 3.25 A Y
CHEM110418073427 nrk P BV19 105.95 0.44 9 1 25.81 A Y
CHEM110418073427 vzr P BV19 103.36 0.37 12 1 3.26 A Y
CHEM110500111853 vzk P BV19 104.43 0.26 0 0 0 A Y
CHEM110500111853 raz P BV19 95.33 0.27 0 0 0 A Y
CHEM110500111853 nrr P BV19 107.25 0.21 0 0 0 A Y
CHEM110500111853 nrk P BV19 111.05 0.25 0 0 0 A Y
CHEM110500111853 vzr P BV19 100.32 0.21 0 0 0 A Y
CHEM110520055489 vzk P BV19 111.96 0.29 1 1 0.91 A Y
CHEM110520055489 raz P BV19 105.11 0.29 1 1 0.91 A Y
CHEM110520055489 nrr P BV19 107.55 0.27 0 0 0 A Y
CHEM110520055489 nrk P BV19 119.13 0.28 1 1 0.9 A Y
CHEM110520055489 vzr P BV19 103.74 0.27 0 0 0 A Y
CHEM110653034740 vzk P BV19 107.21 0.23 2 1 4.56 A Y
CHEM110653034740 raz P BV19 100.9 0.27 2 1 4.51 A Y
CHEM110653034740 nrr P BV19 106.46 0.18 3 1 2.44 A Y
CHEM110653034740 nrk P BV19 110.27 0.21 2 1 4.86 A Y
CHEM110653034740 vzr P BV19 104.53 0.18 3 1 2.44 A Y
CHEM110706029730 vzk P BV19 112.64 0.26 0 0 0 A Y
CHEM110706029730 raz P BV19 99.32 0.27 0 0 0 A Y
CHEM110706029730 nrr P BV19 110.18 0.21 0 0 0 A Y
CHEM110706029730 nrk P BV19 118.08 0.24 0 0 0 A Y
CHEM110706029730 vzr P BV19 108.85 0.21 0 0 0 A Y
CHEM110717020252 vzk P BV19 114.66 0.13 0 0 0 A Y
CHEM110717020252 raz P BV19 99.27 0.15 0 0 0 A Y
CHEM110717020252 nrr P BV19 108.32 0.1 0 0 0 A Y
CHEM110717020252 nrk P BV19 114.55 0.12 0 0 0 A Y
CHEM110717020252 vzr P BV19 114.59 0.09 0 0 0 A Y
CHEM110943064181 vzk P BV19 111.63 0.32 1 1 3.97 A Y
CHEM110943064181 raz P BV19 91.24 0.34 1 1 3.91 A Y
CHEM110943064181 nrr P BV19 116.5 0.3 1 1 0.8 A Y
CHEM110943064181 nrk P BV19 118.69 0.32 1 1 4.6 A Y
CHEM110943064181 vzr P BV19 111.65 0.29 1 1 0.8 A Y
CHEM110966051533 vzk P BV19 102.23 0.47 14 4 24.49 A Y
CHEM110966051533 raz P BV19 95.35 0.53 14 4 24.27 A Y
CHEM110966051533 nrr P BV19 107.32 0.39 14 4 5.61 A Y
CHEM110966051533 nrk P BV19 108.38 0.44 14 4 26.62 A Y
CHEM110966051533 vzr P BV19 100.32 0.38 14 4 5.62 A Y
CHEM111032032036 vzk P BV19 110.13 0.26 0 0 0 A Y
CHEM111032032036 raz P BV19 99.27 0.27 0 0 0 A Y
CHEM111032032036 nrr P BV19 103.76 0.21 0 0 0 A Y
CHEM111032032036 nrk P BV19 113.45 0.25 0 0 0 A Y
CHEM111032032036 vzr P BV19 107.68 0.21 0 0 0 A Y
CHEM111108005230 vzk P BV19 110.74 0.23 0 0 0 A Y
CHEM111108005230 raz P BV19 97.3 0.24 0 0 0 A Y
CHEM111108005230 nrr P BV19 107.52 0.19 0 0 0 A Y
CHEM111108005230 nrk P BV19 110.62 0.21 0 0 0 A Y
CHEM111108005230 vzr P BV19 113.27 0.18 0 0 0 A Y
CHEM111450093381 vzk P BV19 106.84 0.53 0 0 0 A Y
CHEM111450093381 raz P BV19 90.62 0.61 0 0 0 A Y
CHEM111450093381 nrr P BV19 106.59 0.36 0 0 0 A Y
CHEM111450093381 nrk P BV19 116.81 0.46 0 0 0 A Y
CHEM111450093381 vzr P BV19 112.91 0.34 0 0 0 A Y
CHEM111472009841 vzk P BV19 100.5 0.35 4 1 6.63 A Y
CHEM111472009841 raz P BV19 101.82 0.38 4 1 6.56 A Y
CHEM111472009841 nrr P BV19 99.2 0.32 5 1 1.89 A Y
CHEM111472009841 nrk P BV19 99.83 0.34 4 1 7.11 A Y
CHEM111472009841 vzr P BV19 96.11 0.32 5 1 1.89 A Y
CHEM120018816256 vzk P BV19 108.79 0.31 3 2 5.96 A Y
CHEM120018816256 raz P BV19 108.15 0.35 3 2 5.92 A Y
CHEM120018816256 nrr P BV19 102.48 0.22 3 2 2.5 A Y
CHEM120018816256 nrk P BV19 101.33 0.27 3 2 6.35 A Y
CHEM120018816256 vzr P BV19 103.72 0.21 3 2 2.5 A Y
CHEM120021828420 vzk P BV19 106.1 0.04 1 1 2.44 A Y
CHEM120021828420 raz P BV19 100.57 0.06 1 1 2.42 A Y
CHEM120021828420 nrr P BV19 108.33 0.02 1 1 0.88 A Y
CHEM120021828420 nrk P BV19 109.25 0.03 1 1 2.61 A Y
CHEM120021828420 vzr P BV19 107.47 0.02 1 1 0.88 A Y
CHEM120023351193 vzk P BV19 105.22 0.33 4 2 13.47 A Y
CHEM120023351193 raz P BV19 104.59 0.39 4 2 13.2 A Y
CHEM120023351193 nrr P BV19 98.42 0.23 6 2 3.95 A Y
CHEM120023351193 nrk P BV19 99.14 0.29 4 2 16.04 A Y
CHEM120023351193 vzr P BV19 103.11 0.21 6 2 3.95 A Y
CHEM120023524566 vzk P BV19 112.51 0.45 8 3 20.55 A Y
CHEM120023524566 raz P BV19 114.53 0.5 8 3 20.32 A Y
CHEM120023524566 nrr P BV19 102.25 0.37 10 4 6.42 A Y
CHEM120023524566 nrk P BV19 105.06 0.42 8 3 23.11 A Y
CHEM120023524566 vzr P BV19 102.57 0.36 10 4 6.42 A Y
CHEM120056249153 vzk P BV19 111.12 0.53 20 3 40.76 A Y
CHEM120056249153 raz P BV19 93.53 0.6 20 3 40.41 A Y
CHEM120056249153 nrr P BV19 116.7 0.43 24 3 10.44 A Y
CHEM120056249153 nrk P BV19 112.78 0.49 20 3 44.34 A Y
CHEM120056249153 vzr P BV19 115.38 0.41 24 3 10.44 A Y
CHEM120060946628 vzk P BV19 103.56 0.44 10 1 17.08 A Y
CHEM120060946628 raz P BV19 99.1 0.49 10 1 16.98 A Y
CHEM120060946628 nrr P BV19 101.85 0.38 15 3 10.29 A Y
CHEM120060946628 nrk P BV19 104.73 0.41 10 1 18.07 A Y
CHEM120060946628 vzr P BV19 96.89 0.37 15 3 10.3 A Y
CHEM120064292042 vzk P BV19 109.34 0.37 6 3 9.42 A Y
CHEM120064292042 raz P BV19 99.78 0.41 6 3 9.39 A Y
CHEM120064292042 nrr P BV19 107.85 0.33 6 2 3.73 A Y
CHEM120064292042 nrk P BV19 109.73 0.35 6 3 9.8 A Y
CHEM120064292042 vzr P BV19 108.79 0.33 6 2 3.73 A Y
CHEM120075861183 vzk P BV19 108.77 0.74 99 86 167.52 CH Y
CHEM120075861183 raz P BV19 101.95 0.81 99 86 166.84 CH Y
CHEM120075861183 nrr P BV19 106.05 0.6 138 103 105.81 CH Y
CHEM120075861183 nrk P BV19 106.21 0.66 99 86 175.65 CH Y
CHEM120075861183 vzr P BV19 109.98 0.59 138 103 105.83 CH Y
CHEM120109684825 vzk P BV19 100.56 0.23 0 0 0 A Y
CHEM120109684825 raz P BV19 99.25 0.25 0 0 0 A Y
CHEM120109684825 nrr P BV19 99.24 0.2 2 1 1.21 A Y
CHEM120109684825 nrk P BV19 100.05 0.21 0 0 0 A Y
CHEM120109684825 vzr P BV19 91.85 0.2 2 1 1.21 A Y
CHEM120109822852 vzk P BV19 101.17 0.31 2 1 1.69 A Y
CHEM120109822852 raz P BV19 97.51 0.33 2 1 1.7 A Y
CHEM120109822852 nrr P BV19 106.59 0.27 2 1 1.6 A Y
CHEM120109822852 nrk P BV19 105.1 0.3 2 1 1.68 A Y
CHEM120109822852 vzr P BV19 98.16 0.26 2 1 1.6 A Y
